# English display phrase<TAB>Simplified Chinese. Longest matching phrase wins.
System Settings	系统设置
A(Red/Fire)	A（红色／开火）
B(Blue)	B（蓝色）
C(Yellow)	C（黄色）
D(Green)	D（绿色）
Pause	暂停
Select INI	选择配置文件
Use dpad/cursor to select	用方向键选择
Floppy 0	软驱0
Floppy 1	软驱1
no disk	未插入磁盘
OS ROM	系统 ROM
Aspect Ratio	画面比例
Scale	缩放
Refresh Rate	刷新率
Variable	可变
Stereo Mix	立体声混合
25MHz Audio Fix	25MHz 音频修正
Enable	启用
Disable	禁用
Swap Joysticks	交换摇杆
Yes	是
No	否
Swap Btn 2/3	交换按键2/3
DIP Switches	拨码开关
Load *.	加载 *.
Mount *.	挂载 *.
Load	加载
Mount	挂载
Play	播放
Record	录制
Both	两者
Max	最大
Min	最小
Signals	信号
All	全部
Tape	磁带
Colour	彩色
Manual	手册
Cheats	金手指
Saving...	正在保存…
failed to load ROM	加载 ROM 失败
Unsupported cartridge type!	不支持的卡带类型！
Lock OSD	锁定菜单
Define	设置
buttons	按键
Button/Key remap	重新映射按键
Reset player assignment	重置玩家分配
UART mode	串口模式
Audio filter	音频滤波
Reset settings	重置设置
Save settings	保存设置
Help	帮助
About	关于
Reboot (hold	重启（长按
cold reboot)	冷启动）
Cold Reboot	冷启动
Load preset	加载预设
Horz filter	水平滤波
From file	来自文件
Video filter	视频滤波
NearNeighbour	最近邻
Vert filter	垂直滤波
Same as Horz	同水平滤波
Scan filter	扫描线滤波
Same as Vert	同垂直滤波
Intl filter	隔行滤波
Gamma correction	伽马校正
On	开启
Shadow Mask	荫罩
Reset to Defaults	恢复默认设置
Help requires	帮助功能需要
Reset to apply	重启后生效
Connection	连接
Link	链路
USB Serial	USB 串口
Type	类型
Change Soundfont	更换音色库
Baud	波特率
Reset UART connection	重置串口连接
Save	保存
UART Baud Rate	串口波特率
Config	配置
Core Volume	核心音量
Global Volume	全局音量
Mute	静音
Reset to default	恢复默认值
Define buttons	设置按键
Esc Cancel	Esc 取消
Enter Finish	回车完成
Menu-hold Cancel	长按菜单键取消
Clearing	正在清除
Canceling	正在取消
Space/User Skip	空格／用户键跳过
(can use 2-button combo)	（可用双键组合）
Press	请按
You need to define this	请先在主菜单核心
joystick in Menu core first	中设置此手柄
Press ESC/Enter	按 Esc／回车
Joystick	摇杆
Keyboard	键盘
User Undefine	用户键取消定义
User/Space Undefine	用户键／空格取消定义
User/Menu Undefine	用户键／菜单取消定义
F12 Clear all	F12 清除全部
Do you want to setup	是否设置
alternative buttons?	备用按键？
Supported mapping	支持的映射
Button(s)/Key(s) -> Key(s)	按键组合 → 键盘键
Button(s) -> Button(s)	手柄键 → 手柄键
F12 Advanced	F12 高级设置
Esc Clear	Esc 清除
OK-hold Advanced	长按确认进入高级设置
Menu Finish	菜单键完成
Menu-hold Clear	长按菜单键清除
Cancel	取消
Finishing	正在完成
Press key(s) to map to	按目标键盘键
on a keyboard	在键盘上操作
Press button(s) to map to	按目标手柄键
on the same pad	在同一手柄上操作
or key(s) on a keyboard	或按键盘上的键
Press button(s)	按手柄按键
or key(s) to change	或键盘键进行修改
Esc Clear, Enter Finish	Esc 清除，回车完成
MiSTer by Alexey Melnikov, based on MiST by Till Harbaum, Minimig by Dennis van Weeren and other projects. MiSTer hardware and software is distributed under the terms of the GNU General Public License version 3. MiSTer FPGA cores are the work of their respective authors under individual licensing. Go to www.MiSTerFPGA.org for more details.	MiSTer 由 Alexey Melnikov 开发，基于 Till Harbaum 的 MiST、Dennis van Weeren 的 Minimig 等项目。MiSTer 软硬件采用 GNU GPL 第3版许可；各 FPGA 核心由其作者按各自许可发布。详情：www.MiSTerFPGA.org。
Locked	已锁定
Enter unlock code	输入解锁码
Write protect	写保护
Cart	卡带
Joysticks swap	交换摇杆
Modify config	修改配置
Load config	加载配置
Save config	保存配置
Reset	重置
Cold Boot	冷启动
Memory	内存
Chipset	芯片组
Blitter	位块传送器
Aspect	画面比例
Screen	屏幕
Color	彩色
Mono 60Hz	单色60Hz
Screen: Mono	屏幕：单色
Video Crop	画面裁切
Visible 216p(5x)	可视区216p（5倍）
Visible	可视区
Full	完整
Scanlines	扫描线
Dongle	加密狗
YM-Audio	YM 音频
Startup config	启动配置
Other configs	其他配置
Drive Type	软驱类型
Not Detected!	未检测到！
Disk Image	磁盘镜像
Physical Drive 2	实体软驱2
Physical Drive 3	实体软驱3
Physical Drive	实体软驱
add from main menu	从主菜单添加
Select drive to toggle mode	选择软驱以切换模式
Use MT32-pi	使用 MT32-pi
Show Info	显示信息
LCD-On(non-FB)	LCD常亮（无帧缓冲）
LCD-Auto(non-FB)	LCD自动（无帧缓冲）
Default Config	默认配置
Synth	合成器
Munt ROM	Munt 固件
Unknown	未知
SoundFont	音色库
Current Config	当前配置
Reset Hanging Notes	清除挂起音符
Cores	核心列表
active	已启用
Clearing the option	正在清除选项
You have to reload the core	请重新加载核心
to use default value.	以使用默认值。
Unmounting the image	正在卸载镜像
Recent Cores	最近使用的核心
Recent Files	最近使用的文件
Clear the List?	清空列表？
Clearing the recents	正在清除最近记录
Reset Minimig?	重启 Minimig？
Reset settings?	重置设置？
KP +/- to add/remove drives	小键盘 +/- 增减软驱
External Drive 2	外部软驱2
External Drive 3	外部软驱3
External Drive	外部软驱
active after reset	重启后生效
Start CD32 Game	启动 CD32 游戏
Start CDTV Game	启动 CDTV 游戏
Joystick Swap	交换摇杆
User Port	用户接口
Configure	配置
Not Detected	未检测到
CD & HDD	光驱与硬盘
Load configuration	加载配置
Save configuration	保存配置
NO INFO	无信息
EMPTY	空
D-Cache	数据缓存
ChipRAM	芯片内存
FastRAM	快速内存
SlowRAM	慢速内存
Ext.ROM	扩展 ROM
Enabled	已启用
Disabled	已禁用
Ethernet	以太网
FDD Turbo	软驱加速
Drives	驱动器
CD32 drive	CD32 光驱
not selected	未选择
CDTV drive	CDTV 光驱
Fast-IDE (68020)	高速 IDE（68020）
Sec.	次通道
Pri.	主通道
Slave	从设备
Master	主设备
Removable/CD	可移动／光驱
Fixed/HDD	固定／硬盘
TV Standard	电视制式
Scandoubler FX	倍线效果
Video area by	画面区域依据
Pixel Clock	像素时钟
Adaptive	自适应
Scaling	缩放
RTG Upscaling	RTG 放大
Audio Filter	音频滤波
Auto(LED)	自动（LED）
Model	型号
Paula Output	Paula 输出
Finish screen adjustment	完成画面调整
Adjust screen position	调整画面位置
Available space	可用空间
Storage: USB	存储：USB
Switch to SD card	切换到 SD 卡
No USB found, using SD card	未找到USB，使用SD卡
Storage: SD card	存储：SD卡
Switch to USB	切换到 USB
Remap keyboard	重新映射键盘
Define joystick buttons	设置手柄按键
Mouse Move RIGHT	鼠标右移
Mouse Move LEFT	鼠标左移
Mouse Move DOWN	鼠标下移
Mouse Move UP	鼠标上移
Mouse Btn Left	鼠标左键
Mouse Btn Right	鼠标右键
Mouse Btn Middle	鼠标中键
Mouse Emu/Sniper	鼠标模拟／精确模式
Menu: OK	菜单：确认
Menu: Back	菜单：返回
Lightgun Calibration	光枪校准
Point to the edge of	瞄准屏幕边缘
screen and press trigger	并扣动扳机
to confirm	以确认
Warning!!!	警告！
Attention	注意
This is dangerous operation!	此操作存在风险！
Script has control over the	脚本能控制整个系统，
whole system and may damage	可能损坏文件或设置，
the files or settings, then	导致 MiSTer 无法启动。
MiSTer won't boot, so you	届时需要重新格式化
will have to re-format the	SD 卡并重新复制文件，
SD card and fill with files	才能恢复使用。
in order to use it again.	请确认后再继续。
Do you want to continue?	是否继续？
Yes, and don't ask again	是，不再询问
BT Pairing	蓝牙配对
No Bluetooth available	没有可用的蓝牙设备
Finish	完成
OK	确认
Delete all pairings...	删除全部配对…
Press key to change	按键进行修改
on keyboard	键盘
Press key to map	按键以映射
on any keyboard	可使用任意键盘
Advanced	高级设置
New	新增
Input Hotkey(s)	输入快捷键
Core Button(s)	核心按键
Output(s)	输出按键
Autofire	连发
Delete	删除
Done	完成
Set Hotkey	设置快捷键
Press button(s) on joypad	按手柄上的按键
or key(s) on keyboard	或按键盘上的键
Press Keyboard key(s)	按键盘按键
Cartridge Type	卡带类型
Bootcore	启动核心
Press any key to cancel	按任意键取消
Loading...	正在加载…
<UP-DIR>	<上级>
<DIR>	<目录>
No files!	没有文件！
Missing directory	目录不存在
Code	代码
Forward	向前
Reverse	反向
STOP	停止
Tape Storage	磁带存储
Machine	机型
Display	显示
Debug	调试
Memory Dump	内存转储
Boot Reset	启动重置
Reload config	重新加载配置
Reset config	重置配置
Load direct to RAM	直接加载到内存
Queue Tape	加入磁带队列
Clear Queue	清空队列
Tape Buttons	磁带按键
Fast Tape Load	磁带快速加载
Map Header (Ascii)	映射头部（ASCII）
Tape Details	磁带详情
Tape Error	磁带错误
File Size	文件大小
File Type	文件类型
File Name	文件名
Load Addr	加载地址
Exec Addr	执行地址
Unable to open file!	无法打开文件！
Unable to read header!	无法读取文件头！
Not a m/code Program!	不是机器码程序！
Not a valid tape!	无效的磁带！
Tape Queued	磁带已入队
Queue Error	队列错误
Queue limit reached!	队列已满！
Floppy Storage	软盘存储
Machine Model	机器型号
CPU Speed	CPU 速度
Audio Source	音频来源
Rom Management	ROM 管理
User ROM	用户 ROM
Floppy Disk ROM	软驱 ROM
Enable Custom Rom	启用自定义 ROM
Monitor (40x25)	监控程序（40×25）
Monitor (80x25)	监控程序（80×25）
Char Generator	字符发生器
Key Mapping	按键映射
Floppy Disk	软盘
Display Type	显示类型
VGA Scaling	VGA 缩放
Video	视频
Graphics Addr	图形地址
Graphics	图形
VRAM CPU Wait	显存 CPU 等待
PCG Mode	PCG 模式
Test SB	测试信号块
Select Memory Bank	选择内存区
File	文件
written!	已写入！
Dump To	转储到
Debug Mode	调试模式
CPU Frequency	CPU 频率
Debug LEDS	调试指示灯
Sample Freq	采样频率
Signal Block	信号块
Bank	存储区
Mouse mode ON	鼠标模式已开启
Mouse mode OFF	鼠标模式已关闭
Light Gun mode is ON	光枪模式已开启
Light Gun mode is OFF	光枪模式已关闭
This joystick is not defined	此手柄尚未设置
8-button mode	8键模式
5-button mode	5键模式
Spinner: Enabled	旋钮已启用
Spinner: Disabled	旋钮已禁用
Paddle mode	拨盘模式
Scaler not compatible	缩放器不兼容
Screenshot saved	截图已保存
Screenshot failed	截图失败
Kbd mode: Joystick 1	键盘模式：摇杆1
Kbd mode: Joystick 2	键盘模式：摇杆2
Kbd mode: Mouse	键盘模式：鼠标
Kbd mode: Normal	键盘模式：正常
Saving the state	正在保存状态
Cannot open bsx_bios.rom!	无法打开 bsx_bios.rom！
Cannot open goomba.rom!	无法打开 goomba.rom！
Canceled	已取消
CD BIOS not found!	未找到光驱 BIOS！
No rbf found!	未找到核心文件！
Cart image saved.	卡带镜像已保存。
Not enough memory!	内存不足！
Graphics will be corrupted	画面可能损坏
Failed to initialize cheat engine!	金手指引擎初始化失败！
Invalid cheat code! Disabling cheats.	金手指代码无效，已禁用。
# Common core-supplied option captions and values. Protocol strings are never rewritten.
Region	区域
Auto	自动
Japan	日本
Japanese	日文
USA	美国
Europe	欧洲
World	世界
Language	语言
English	英文
Chinese	中文
Difficulty	难度
Easy	简单
Hard	困难
Hardest	最难
Lives	生命数
Bonus Life	奖励生命
Demo Sounds	演示音效
Free Play	免费游玩
Coinage	投币设置
Continue	继续
Service Mode	维修模式
Service	维修
Test Mode	测试模式
Cabinet	机柜
Upright	直立式
Cocktail	桌式
Flip Screen	翻转画面
Screen Rotation	画面旋转
Rotate Screen	旋转画面
Rotation	旋转
Vertical	垂直
Horizontal	水平
Orientation	方向
Controls	控制设置
Controller	控制器
Controllers	控制器
Joystick Type	摇杆类型
Swap Joysticks	交换摇杆
Swap Buttons	交换按键
Button Swap	交换按键
Turbo	加速
CPU Turbo	CPU 加速
CPU Type	CPU 类型
CPU Mode	CPU 模式
CPU Cache	CPU 缓存
Overclock	超频
Video Mode	视频模式
Video Settings	视频设置
Audio Settings	音频设置
System Settings	系统设置
Reset and apply	重启并应用
Reset and close OSD	重启并关闭菜单
Reset and close	重启并关闭
Load BIOS	加载 BIOS
Load ROM	加载 ROM
Load Cartridge	加载卡带
Load Tape	加载磁带
Mount Disk	挂载磁盘
Eject Disk	弹出磁盘
Eject	弹出
Save State	保存状态
Load State	加载状态
Save RAM	保存存档内存
Autosave	自动保存
Save Settings	保存设置
Reset Settings	重置设置
Boot ROM	启动 ROM
Boot Order	启动顺序
Boot Mode	启动模式
Memory Size	内存大小
RAM Size	内存大小
Expansion	扩展
Expansion RAM	扩展内存
Floppy	软盘
Hard Disk	硬盘
Disk	磁盘
Drive	驱动器
Write Protect	写保护
Write Protection	写保护
Read Only	只读
Read/Write	读写
Sound	声音
Sound Mode	声音模式
Sound Chip	音频芯片
Audio	音频
Volume	音量
Stereo	立体声
Mono	单声道
Low Pass Filter	低通滤波
Lowpass Filter	低通滤波
Filter	滤波
Interpolation	插值
Nearest	最近邻
Bilinear	双线性
Sharp	锐利
Soft	柔和
Scan Doubler	倍线器
Scandoubler	倍线器
HQ2x	HQ2x
CRT	CRT
Integer	整数
Overscan	过扫描
Border	边框
Borders	边框
Crop	裁切
Center	居中
Position	位置
Offset	偏移
Width	宽度
Height	高度
Brightness	亮度
Contrast	对比度
Saturation	饱和度
Hue	色相
Palette	调色板
Sprites	精灵
Sprite Limit	精灵数量限制
Sprite Flicker	精灵闪烁
Flicker	闪烁
Background	背景
Foreground	前景
Layer	图层
Layers	图层
Enable Cheats	启用金手指
Cheat Codes	金手指代码
Unlimited	无限
Infinite	无限
Invincibility	无敌
Speed	速度
Default	默认
Standard	标准
Accurate	精确
Compatibility	兼容性
Emulation	模拟
Latency	延迟
Low Latency	低延迟
Sync	同步
Clock	时钟
Frequency	频率
Mode	模式
Options	选项
Settings	设置
Reset to defaults	恢复默认设置
